code,start,end,n_hours,max_slope,min_slope,avg_level
157B025010054,2025-07-18 20:00:00,2025-07-19 00:00:00,5,4.022,-0.03399999999999981,4.809
157B025010054,2025-07-19 01:00:00,2025-07-19 05:00:00,5,1.1590000000000007,-1.8469999999999995,10.1934
157B025010054,2025-07-19 06:00:00,2025-07-19 10:00:00,5,-1.1739999999999995,-2.0589999999999993,8.558399999999999
157B025010054,2025-07-19 11:00:00,2025-07-19 15:00:00,5,-0.238,-0.5099999999999998,4.104799999999999
157B025010054,2025-07-19 16:00:00,2025-07-20 23:00:00,32,0.9449999999999998,-0.34799999999999986,2.1685625
157B025030003,2025-06-15 00:00:00,2025-06-16 05:00:00,30,0.21699999999999964,-0.31399999999999917,7.575599999999999
157B025030003,2025-06-16 06:00:00,2025-06-17 07:00:00,25,0.25,-0.34000000000000075,6.417600000000001
157B025030003,2025-06-17 08:00:00,2025-06-18 10:00:00,5,0.10000000000000009,-2.735,3.8914
157B025030003,2025-06-18 11:00:00,2025-06-20 21:00:00,55,0.6,-0.3740000000000001,1.1281818181818182
157B025030003,2025-06-20 22:00:00,2025-06-21 07:00:00,10,0.94,-0.20699999999999985,2.6363000000000003
157B025030003,2025-06-21 08:00:00,2025-06-21 12:00:00,5,0.37100000000000044,-0.06699999999999973,4.0724
157B025030003,2025-06-21 13:00:00,2025-06-21 18:00:00,5,1.7249999999999996,0.2859999999999996,6.565600000000001
157B025030003,2025-06-21 19:00:00,2025-06-22 00:00:00,5,0.46500000000000163,-0.019999999999999574,8.2676
157B025030003,2025-06-22 01:00:00,2025-06-23 03:00:00,25,0.6170000000000009,-0.2240000000000002,9.919680000000001
157B025030003,2025-06-23 04:00:00,2025-06-24 01:00:00,20,0.27300000000000146,-0.20500000000000007,11.302150000000001
157B025030003,2025-06-24 02:00:00,2025-06-24 22:00:00,20,0.4319999999999986,-0.9789999999999992,9.828050000000001
157B025030003,2025-06-24 23:00:00,2025-06-26 05:00:00,30,0.3019999999999996,-0.5070000000000014,8.767233333333333
157B025030003,2025-06-26 06:00:00,2025-06-28 05:00:00,45,0.3879999999999999,-0.5069999999999997,7.722622222222223
157B025030003,2025-06-28 06:00:00,2025-06-29 07:00:00,25,0.2599999999999998,-0.40000000000000036,6.49208
157B025030003,2025-06-29 08:00:00,2025-07-01 07:00:00,45,0.25599999999999934,-0.7669999999999995,5.206777777777778
157B025030003,2025-07-01 08:00:00,2025-07-03 20:00:00,40,1.2200000000000002,-0.47299999999999986,2.4194
157B025030003,2025-07-03 21:00:00,2025-07-04 21:00:00,25,0.15299999999999997,-0.28500000000000003,0.69292
157B025030003,2025-07-04 22:00:00,2025-07-08 12:00:00,85,3.055,-1.1260000000000003,2.9419411764705883
157B025030003,2025-07-08 13:00:00,2025-07-09 08:00:00,20,0.18500000000000005,-0.28100000000000014,2.1323000000000003
157B025030003,2025-07-09 09:00:00,2025-07-09 13:00:00,5,-0.06200000000000028,-5.867000000000001,3.7534
157B025030003,2025-07-09 14:00:00,2025-07-09 19:00:00,5,0.10699999999999976,-0.1559999999999997,2.1606
157B025030003,2025-07-09 20:00:00,2025-07-10 01:00:00,5,6.751,-0.673,4.513199999999999
157B025030003,2025-07-10 02:00:00,2025-07-10 06:00:00,5,0.18200000000000038,-0.28200000000000003,6.6074
157B025030003,2025-07-10 07:00:00,2025-07-10 21:00:00,15,0.14699999999999935,-0.34799999999999986,5.025333333333333
